Team,Opponent,Venue,ForAgainst,Red_Cards,Corner_Kicks,Fouls_Commited,Yellow_Cards,Shots,Goal_Kicks,Throw_Ins,Tackles,First_Half_Yellow_Cards,SoT,Offsides,Round,Season,Column1,Unnamed: 0
PAS Lamia 1964,Panathinaikos,Home,For,0.0,3.0,19.0,3.0,13.0,7.0,18.0,14.0,0.0,5.0,4.0,Gameweek 10,2024,,
PAS Lamia 1964,Panathinaikos,Home,Against,1.0,3.0,15.0,6.0,10.0,6.0,20.0,20.0,1.0,6.0,1.0,Gameweek 10,2024,,
Panathinaikos,PAS Lamia 1964,Away,For,1.0,3.0,15.0,6.0,10.0,6.0,20.0,20.0,1.0,6.0,1.0,Gameweek 10,2024,,
Panathinaikos,PAS Lamia 1964,Away,Against,0.0,3.0,19.0,3.0,13.0,7.0,18.0,14.0,0.0,5.0,4.0,Gameweek 10,2024,,
A.E. Kifisia FC,AEK Athens,Home,For,0.0,5.0,10.0,2.0,6.0,12.0,26.0,18.0,1.0,2.0,1.0,Gameweek 10,2024,,
A.E. Kifisia FC,AEK Athens,Home,Against,0.0,8.0,13.0,2.0,18.0,7.0,30.0,12.0,1.0,6.0,3.0,Gameweek 10,2024,,
AEK Athens,A.E. Kifisia FC,Away,For,0.0,8.0,13.0,2.0,18.0,7.0,30.0,12.0,1.0,6.0,3.0,Gameweek 10,2024,,
AEK Athens,A.E. Kifisia FC,Away,Against,0.0,5.0,10.0,2.0,6.0,12.0,26.0,18.0,1.0,2.0,1.0,Gameweek 10,2024,,
Panetolikos,Asteras Tripolis,Home,For,0.0,8.0,23.0,6.0,21.0,2.0,17.0,8.0,3.0,4.0,1.0,Gameweek 10,2024,,
Panetolikos,Asteras Tripolis,Home,Against,1.0,3.0,12.0,5.0,6.0,9.0,19.0,8.0,2.0,3.0,0.0,Gameweek 10,2024,,
Asteras Tripolis,Panetolikos,Away,For,1.0,3.0,12.0,5.0,6.0,9.0,19.0,8.0,2.0,3.0,0.0,Gameweek 10,2024,,
Asteras Tripolis,Panetolikos,Away,Against,0.0,8.0,23.0,6.0,21.0,2.0,17.0,8.0,3.0,4.0,1.0,Gameweek 10,2024,,
PAS Giannina,NPS Volos,Home,For,0.0,4.0,23.0,5.0,12.0,14.0,18.0,18.0,2.0,3.0,3.0,Gameweek 10,2024,,
PAS Giannina,NPS Volos,Home,Against,0.0,7.0,14.0,2.0,13.0,8.0,18.0,19.0,1.0,3.0,1.0,Gameweek 10,2024,,
NPS Volos,PAS Giannina,Away,For,0.0,7.0,14.0,2.0,13.0,8.0,18.0,19.0,1.0,3.0,1.0,Gameweek 10,2024,,
NPS Volos,PAS Giannina,Away,Against,0.0,4.0,23.0,5.0,12.0,14.0,18.0,18.0,2.0,3.0,3.0,Gameweek 10,2024,,
Olympiacos FC,PAOK,Home,For,0.0,7.0,16.0,3.0,13.0,6.0,29.0,15.0,1.0,6.0,8.0,Gameweek 10,2024,,
Olympiacos FC,PAOK,Home,Against,0.0,2.0,10.0,2.0,11.0,7.0,16.0,17.0,0.0,5.0,2.0,Gameweek 10,2024,,
PAOK,Olympiacos FC,Away,For,0.0,2.0,10.0,2.0,11.0,7.0,16.0,17.0,0.0,5.0,2.0,Gameweek 10,2024,,
PAOK,Olympiacos FC,Away,Against,0.0,7.0,16.0,3.0,13.0,6.0,29.0,15.0,1.0,6.0,8.0,Gameweek 10,2024,,
Aris Thessaloniki,Atromitos Athens,Home,For,0.0,9.0,15.0,3.0,23.0,5.0,23.0,8.0,0.0,5.0,3.0,Gameweek 10,2024,,
Aris Thessaloniki,Atromitos Athens,Home,Against,0.0,2.0,18.0,4.0,7.0,10.0,23.0,16.0,2.0,5.0,1.0,Gameweek 10,2024,,
Atromitos Athens,Aris Thessaloniki,Away,For,0.0,2.0,18.0,4.0,7.0,10.0,23.0,16.0,2.0,5.0,1.0,Gameweek 10,2024,,
Atromitos Athens,Aris Thessaloniki,Away,Against,0.0,9.0,15.0,3.0,23.0,5.0,23.0,8.0,0.0,5.0,3.0,Gameweek 10,2024,,
Panserraikos,OFI Crete,Home,For,0.0,4.0,18.0,3.0,10.0,8.0,22.0,13.0,1.0,5.0,1.0,Gameweek 10,2024,,
Panserraikos,OFI Crete,Home,Against,0.0,4.0,14.0,4.0,11.0,6.0,15.0,13.0,2.0,3.0,2.0,Gameweek 10,2024,,
OFI Crete,Panserraikos,Away,For,0.0,4.0,14.0,4.0,11.0,6.0,15.0,13.0,2.0,3.0,2.0,Gameweek 10,2024,,
OFI Crete,Panserraikos,Away,Against,0.0,4.0,18.0,3.0,10.0,8.0,22.0,13.0,1.0,5.0,1.0,Gameweek 10,2024,,
OFI Crete,PAS Giannina,Home,For,0.0,1.0,16.0,2.0,12.0,8.0,12.0,13.0,0.0,4.0,2.0,Gameweek 11,2024,,
OFI Crete,PAS Giannina,Home,Against,0.0,4.0,16.0,2.0,16.0,9.0,16.0,18.0,1.0,6.0,2.0,Gameweek 11,2024,,
PAS Giannina,OFI Crete,Away,For,0.0,4.0,16.0,2.0,16.0,9.0,16.0,18.0,1.0,6.0,2.0,Gameweek 11,2024,,
PAS Giannina,OFI Crete,Away,Against,0.0,1.0,16.0,2.0,12.0,8.0,12.0,13.0,0.0,4.0,2.0,Gameweek 11,2024,,
Atromitos Athens,Panserraikos,Home,For,0.0,5.0,21.0,4.0,10.0,5.0,30.0,6.0,0.0,3.0,2.0,Gameweek 11,2024,,
Atromitos Athens,Panserraikos,Home,Against,0.0,1.0,21.0,4.0,7.0,5.0,19.0,10.0,0.0,2.0,1.0,Gameweek 11,2024,,
Panserraikos,Atromitos Athens,Away,For,0.0,1.0,21.0,4.0,7.0,5.0,19.0,10.0,0.0,2.0,1.0,Gameweek 11,2024,,
Panserraikos,Atromitos Athens,Away,Against,0.0,5.0,21.0,4.0,10.0,5.0,30.0,6.0,0.0,3.0,2.0,Gameweek 11,2024,,
NPS Volos,Aris Thessaloniki,Home,For,0.0,5.0,11.0,4.0,13.0,6.0,21.0,13.0,3.0,4.0,3.0,Gameweek 11,2024,,
NPS Volos,Aris Thessaloniki,Home,Against,0.0,7.0,19.0,2.0,7.0,6.0,26.0,10.0,1.0,3.0,1.0,Gameweek 11,2024,,
Aris Thessaloniki,NPS Volos,Away,For,0.0,7.0,19.0,2.0,7.0,6.0,26.0,10.0,1.0,3.0,1.0,Gameweek 11,2024,,
Aris Thessaloniki,NPS Volos,Away,Against,0.0,5.0,11.0,4.0,13.0,6.0,21.0,13.0,3.0,4.0,3.0,Gameweek 11,2024,,
PAOK,Panetolikos,Home,For,0.0,4.0,7.0,2.0,11.0,5.0,22.0,9.0,1.0,2.0,3.0,Gameweek 11,2024,,
PAOK,Panetolikos,Home,Against,0.0,1.0,15.0,3.0,7.0,8.0,14.0,14.0,2.0,2.0,1.0,Gameweek 11,2024,,
Panetolikos,PAOK,Away,For,0.0,1.0,15.0,3.0,7.0,8.0,14.0,14.0,2.0,2.0,1.0,Gameweek 11,2024,,
Panetolikos,PAOK,Away,Against,0.0,4.0,7.0,2.0,11.0,5.0,22.0,9.0,1.0,2.0,3.0,Gameweek 11,2024,,
AEK Athens,PAS Lamia 1964,Home,For,0.0,4.0,15.0,3.0,12.0,6.0,20.0,21.0,0.0,5.0,0.0,Gameweek 11,2024,,
AEK Athens,PAS Lamia 1964,Home,Against,0.0,4.0,15.0,3.0,4.0,7.0,16.0,14.0,1.0,0.0,1.0,Gameweek 11,2024,,
PAS Lamia 1964,AEK Athens,Away,For,0.0,4.0,15.0,3.0,4.0,7.0,16.0,14.0,1.0,0.0,1.0,Gameweek 11,2024,,
PAS Lamia 1964,AEK Athens,Away,Against,0.0,4.0,15.0,3.0,12.0,6.0,20.0,21.0,0.0,5.0,0.0,Gameweek 11,2024,,
Asteras Tripolis,Olympiacos FC,Home,For,0.0,2.0,7.0,3.0,6.0,10.0,22.0,12.0,0.0,2.0,5.0,Gameweek 11,2024,,
Asteras Tripolis,Olympiacos FC,Home,Against,0.0,5.0,16.0,0.0,10.0,6.0,18.0,16.0,0.0,3.0,4.0,Gameweek 11,2024,,
Olympiacos FC,Asteras Tripolis,Away,For,0.0,5.0,16.0,0.0,10.0,6.0,18.0,16.0,0.0,3.0,4.0,Gameweek 11,2024,,
Olympiacos FC,Asteras Tripolis,Away,Against,0.0,2.0,7.0,3.0,6.0,10.0,22.0,12.0,0.0,2.0,5.0,Gameweek 11,2024,,
A.E. Kifisia FC,Panathinaikos,Home,For,0.0,0.0,13.0,1.0,3.0,11.0,18.0,10.0,0.0,1.0,3.0,Gameweek 11,2024,,
A.E. Kifisia FC,Panathinaikos,Home,Against,0.0,8.0,17.0,3.0,15.0,3.0,34.0,16.0,1.0,6.0,3.0,Gameweek 11,2024,,
Panathinaikos,A.E. Kifisia FC,Away,For,0.0,8.0,17.0,3.0,15.0,3.0,34.0,16.0,1.0,6.0,3.0,Gameweek 11,2024,,
Panathinaikos,A.E. Kifisia FC,Away,Against,0.0,0.0,13.0,1.0,3.0,11.0,18.0,10.0,0.0,1.0,3.0,Gameweek 11,2024,,
OFI Crete,NPS Volos,Home,For,0.0,6.0,10.0,3.0,18.0,7.0,32.0,17.0,2.0,5.0,8.0,Gameweek 12,2024,,
OFI Crete,NPS Volos,Home,Against,1.0,2.0,17.0,5.0,11.0,9.0,17.0,16.0,3.0,3.0,3.0,Gameweek 12,2024,,
NPS Volos,OFI Crete,Away,For,1.0,2.0,17.0,5.0,11.0,9.0,17.0,16.0,3.0,3.0,3.0,Gameweek 12,2024,,
NPS Volos,OFI Crete,Away,Against,0.0,6.0,10.0,3.0,18.0,7.0,32.0,17.0,2.0,5.0,8.0,Gameweek 12,2024,,
Olympiacos FC,Panetolikos,Home,For,0.0,3.0,18.0,3.0,13.0,6.0,23.0,16.0,1.0,4.0,2.0,Gameweek 12,2024,,
Olympiacos FC,Panetolikos,Home,Against,0.0,2.0,15.0,1.0,10.0,6.0,16.0,10.0,0.0,4.0,0.0,Gameweek 12,2024,,
Panetolikos,Olympiacos FC,Away,For,0.0,2.0,15.0,1.0,10.0,6.0,16.0,10.0,0.0,4.0,0.0,Gameweek 12,2024,,
Panetolikos,Olympiacos FC,Away,Against,0.0,3.0,18.0,3.0,13.0,6.0,23.0,16.0,1.0,4.0,2.0,Gameweek 12,2024,,
PAOK,Panserraikos,Home,For,0.0,8.0,6.0,0.0,13.0,6.0,22.0,8.0,0.0,8.0,0.0,Gameweek 12,2024,,
PAOK,Panserraikos,Home,Against,0.0,3.0,9.0,0.0,8.0,4.0,14.0,7.0,0.0,0.0,0.0,Gameweek 12,2024,,
Panserraikos,PAOK,Away,For,0.0,3.0,9.0,0.0,8.0,4.0,14.0,7.0,0.0,0.0,0.0,Gameweek 12,2024,,
Panserraikos,PAOK,Away,Against,0.0,8.0,6.0,0.0,13.0,6.0,22.0,8.0,0.0,8.0,0.0,Gameweek 12,2024,,
A.E. Kifisia FC,Asteras Tripolis,Home,For,0.0,7.0,16.0,2.0,19.0,4.0,28.0,18.0,1.0,5.0,4.0,Gameweek 12,2024,,
A.E. Kifisia FC,Asteras Tripolis,Home,Against,0.0,2.0,15.0,2.0,7.0,11.0,20.0,20.0,1.0,4.0,2.0,Gameweek 12,2024,,
Asteras Tripolis,A.E. Kifisia FC,Away,For,0.0,2.0,15.0,2.0,7.0,11.0,20.0,20.0,1.0,4.0,2.0,Gameweek 12,2024,,
Asteras Tripolis,A.E. Kifisia FC,Away,Against,0.0,7.0,16.0,2.0,19.0,4.0,28.0,18.0,1.0,5.0,4.0,Gameweek 12,2024,,
PAS Giannina,AEK Athens,Home,For,0.0,3.0,12.0,3.0,8.0,13.0,23.0,18.0,0.0,3.0,3.0,Gameweek 12,2024,,
PAS Giannina,AEK Athens,Home,Against,0.0,6.0,13.0,1.0,22.0,5.0,31.0,13.0,0.0,7.0,1.0,Gameweek 12,2024,,
AEK Athens,PAS Giannina,Away,For,0.0,6.0,13.0,1.0,22.0,5.0,31.0,13.0,0.0,7.0,1.0,Gameweek 12,2024,,
AEK Athens,PAS Giannina,Away,Against,0.0,3.0,12.0,3.0,8.0,13.0,23.0,18.0,0.0,3.0,3.0,Gameweek 12,2024,,
PAS Lamia 1964,Atromitos Athens,Home,For,0.0,3.0,14.0,4.0,13.0,6.0,23.0,13.0,1.0,7.0,3.0,Gameweek 12,2024,,
PAS Lamia 1964,Atromitos Athens,Home,Against,0.0,8.0,17.0,3.0,15.0,8.0,17.0,13.0,1.0,6.0,0.0,Gameweek 12,2024,,
Atromitos Athens,PAS Lamia 1964,Away,For,0.0,8.0,17.0,3.0,15.0,8.0,17.0,13.0,1.0,6.0,0.0,Gameweek 12,2024,,
Atromitos Athens,PAS Lamia 1964,Away,Against,0.0,3.0,14.0,4.0,13.0,6.0,23.0,13.0,1.0,7.0,3.0,Gameweek 12,2024,,
Aris Thessaloniki,Panathinaikos,Home,For,0.0,1.0,18.0,3.0,10.0,6.0,8.0,32.0,0.0,5.0,2.0,Gameweek 12,2024,,
Aris Thessaloniki,Panathinaikos,Home,Against,0.0,9.0,11.0,1.0,15.0,4.0,25.0,20.0,0.0,8.0,0.0,Gameweek 12,2024,,
Panathinaikos,Aris Thessaloniki,Away,For,0.0,9.0,11.0,1.0,15.0,4.0,25.0,20.0,0.0,8.0,0.0,Gameweek 12,2024,,
Panathinaikos,Aris Thessaloniki,Away,Against,0.0,1.0,18.0,3.0,10.0,6.0,8.0,32.0,0.0,5.0,2.0,Gameweek 12,2024,,
Panetolikos,A.E. Kifisia FC,Home,For,0.0,5.0,18.0,2.0,16.0,3.0,14.0,18.0,1.0,9.0,1.0,Gameweek 13,2024,,
Panetolikos,A.E. Kifisia FC,Home,Against,0.0,6.0,17.0,5.0,7.0,8.0,24.0,16.0,2.0,3.0,3.0,Gameweek 13,2024,,
A.E. Kifisia FC,Panetolikos,Away,For,0.0,6.0,17.0,5.0,7.0,8.0,24.0,16.0,2.0,3.0,3.0,Gameweek 13,2024,,
A.E. Kifisia FC,Panetolikos,Away,Against,0.0,5.0,18.0,2.0,16.0,3.0,14.0,18.0,1.0,9.0,1.0,Gameweek 13,2024,,
Asteras Tripolis,Panserraikos,Home,For,0.0,5.0,17.0,4.0,8.0,18.0,10.0,9.0,1.0,2.0,1.0,Gameweek 13,2024,,
Asteras Tripolis,Panserraikos,Home,Against,0.0,3.0,12.0,4.0,18.0,9.0,18.0,9.0,1.0,4.0,0.0,Gameweek 13,2024,,
Panserraikos,Asteras Tripolis,Away,For,0.0,3.0,12.0,4.0,18.0,9.0,18.0,9.0,1.0,4.0,0.0,Gameweek 13,2024,,
Panserraikos,Asteras Tripolis,Away,Against,0.0,5.0,17.0,4.0,8.0,18.0,10.0,9.0,1.0,2.0,1.0,Gameweek 13,2024,,
NPS Volos,Olympiacos FC,Home,For,1.0,2.0,17.0,7.0,10.0,9.0,16.0,7.0,3.0,4.0,1.0,Gameweek 13,2024,,
NPS Volos,Olympiacos FC,Home,Against,1.0,6.0,10.0,3.0,11.0,4.0,27.0,15.0,1.0,3.0,2.0,Gameweek 13,2024,,
Olympiacos FC,NPS Volos,Away,For,1.0,6.0,10.0,3.0,11.0,4.0,27.0,15.0,1.0,3.0,2.0,Gameweek 13,2024,,
Olympiacos FC,NPS Volos,Away,Against,1.0,2.0,17.0,7.0,10.0,9.0,16.0,7.0,3.0,4.0,1.0,Gameweek 13,2024,,
Atromitos Athens,PAS Giannina,Home,For,0.0,2.0,16.0,4.0,14.0,4.0,37.0,9.0,0.0,5.0,2.0,Gameweek 13,2024,,
Atromitos Athens,PAS Giannina,Home,Against,0.0,2.0,7.0,2.0,10.0,8.0,21.0,19.0,1.0,3.0,3.0,Gameweek 13,2024,,
PAS Giannina,Atromitos Athens,Away,For,0.0,2.0,7.0,2.0,10.0,8.0,21.0,19.0,1.0,3.0,3.0,Gameweek 13,2024,,
PAS Giannina,Atromitos Athens,Away,Against,0.0,2.0,16.0,4.0,14.0,4.0,37.0,9.0,0.0,5.0,2.0,Gameweek 13,2024,,
Panathinaikos,OFI Crete,Home,For,0.0,2.0,19.0,1.0,17.0,2.0,17.0,15.0,0.0,7.0,1.0,Gameweek 13,2024,,
Panathinaikos,OFI Crete,Home,Against,0.0,3.0,23.0,6.0,6.0,7.0,14.0,16.0,2.0,3.0,3.0,Gameweek 13,2024,,
OFI Crete,Panathinaikos,Away,For,0.0,3.0,23.0,6.0,6.0,7.0,14.0,16.0,2.0,3.0,3.0,Gameweek 13,2024,,
OFI Crete,Panathinaikos,Away,Against,0.0,2.0,19.0,1.0,17.0,2.0,17.0,15.0,0.0,7.0,1.0,Gameweek 13,2024,,
PAOK,PAS Lamia 1964,Home,For,0.0,5.0,7.0,0.0,17.0,6.0,22.0,17.0,0.0,9.0,2.0,Gameweek 13,2024,,
PAOK,PAS Lamia 1964,Home,Against,0.0,5.0,9.0,1.0,13.0,8.0,17.0,20.0,0.0,6.0,2.0,Gameweek 13,2024,,
PAS Lamia 1964,PAOK,Away,For,0.0,5.0,9.0,1.0,13.0,8.0,17.0,20.0,0.0,6.0,2.0,Gameweek 13,2024,,
PAS Lamia 1964,PAOK,Away,Against,0.0,5.0,7.0,0.0,17.0,6.0,22.0,17.0,0.0,9.0,2.0,Gameweek 13,2024,,
AEK Athens,Aris Thessaloniki,Home,For,0.0,9.0,15.0,1.0,17.0,8.0,19.0,9.0,1.0,6.0,4.0,Gameweek 13,2024,,
AEK Athens,Aris Thessaloniki,Home,Against,0.0,2.0,9.0,1.0,10.0,9.0,21.0,12.0,1.0,1.0,2.0,Gameweek 13,2024,,
Aris Thessaloniki,AEK Athens,Away,For,0.0,2.0,9.0,1.0,10.0,9.0,21.0,12.0,1.0,1.0,2.0,Gameweek 13,2024,,
Aris Thessaloniki,AEK Athens,Away,Against,0.0,9.0,15.0,1.0,17.0,8.0,19.0,9.0,1.0,6.0,4.0,Gameweek 13,2024,,
A.E. Kifisia FC,PAS Giannina,Home,For,0.0,3.0,12.0,3.0,10.0,8.0,15.0,16.0,2.0,8.0,1.0,Gameweek 14,2024,,
A.E. Kifisia FC,PAS Giannina,Home,Against,1.0,7.0,18.0,5.0,10.0,3.0,24.0,8.0,2.0,5.0,1.0,Gameweek 14,2024,,
PAS Giannina,A.E. Kifisia FC,Away,For,1.0,7.0,18.0,5.0,10.0,3.0,24.0,8.0,2.0,5.0,1.0,Gameweek 14,2024,,
PAS Giannina,A.E. Kifisia FC,Away,Against,0.0,3.0,12.0,3.0,10.0,8.0,15.0,16.0,2.0,8.0,1.0,Gameweek 14,2024,,
Aris Thessaloniki,OFI Crete,Home,For,0.0,6.0,14.0,1.0,16.0,6.0,19.0,8.0,0.0,6.0,1.0,Gameweek 14,2024,,
Aris Thessaloniki,OFI Crete,Home,Against,0.0,5.0,18.0,1.0,6.0,7.0,18.0,12.0,0.0,0.0,0.0,Gameweek 14,2024,,
OFI Crete,Aris Thessaloniki,Away,For,0.0,5.0,18.0,1.0,6.0,7.0,18.0,12.0,0.0,0.0,0.0,Gameweek 14,2024,,
OFI Crete,Aris Thessaloniki,Away,Against,0.0,6.0,14.0,1.0,16.0,6.0,19.0,8.0,0.0,6.0,1.0,Gameweek 14,2024,,
Asteras Tripolis,PAOK,Home,For,0.0,7.0,16.0,2.0,11.0,9.0,13.0,11.0,1.0,4.0,1.0,Gameweek 14,2024,,
Asteras Tripolis,PAOK,Home,Against,0.0,4.0,17.0,1.0,13.0,7.0,11.0,6.0,0.0,7.0,4.0,Gameweek 14,2024,,
PAOK,Asteras Tripolis,Away,For,0.0,4.0,17.0,1.0,13.0,7.0,11.0,6.0,0.0,7.0,4.0,Gameweek 14,2024,,
PAOK,Asteras Tripolis,Away,Against,0.0,7.0,16.0,2.0,11.0,9.0,13.0,11.0,1.0,4.0,1.0,Gameweek 14,2024,,
PAS Lamia 1964,NPS Volos,Home,For,0.0,6.0,12.0,3.0,11.0,8.0,38.0,7.0,1.0,3.0,0.0,Gameweek 14,2024,,
PAS Lamia 1964,NPS Volos,Home,Against,0.0,2.0,25.0,3.0,9.0,5.0,20.0,20.0,2.0,3.0,1.0,Gameweek 14,2024,,
NPS Volos,PAS Lamia 1964,Away,For,0.0,2.0,25.0,3.0,9.0,5.0,20.0,20.0,2.0,3.0,1.0,Gameweek 14,2024,,
NPS Volos,PAS Lamia 1964,Away,Against,0.0,6.0,12.0,3.0,11.0,8.0,38.0,7.0,1.0,3.0,0.0,Gameweek 14,2024,,
Atromitos Athens,Panathinaikos,Home,For,0.0,1.0,15.0,3.0,10.0,6.0,15.0,15.0,2.0,4.0,0.0,Gameweek 14,2024,,
Atromitos Athens,Panathinaikos,Home,Against,0.0,7.0,16.0,3.0,12.0,2.0,21.0,9.0,0.0,5.0,1.0,Gameweek 14,2024,,
Panathinaikos,Atromitos Athens,Away,For,0.0,7.0,16.0,3.0,12.0,2.0,21.0,9.0,0.0,5.0,1.0,Gameweek 14,2024,,
Panathinaikos,Atromitos Athens,Away,Against,0.0,1.0,15.0,3.0,10.0,6.0,15.0,15.0,2.0,4.0,0.0,Gameweek 14,2024,,
Panserraikos,Olympiacos FC,Home,For,0.0,3.0,8.0,1.0,4.0,10.0,16.0,14.0,0.0,2.0,1.0,Gameweek 14,2024,,
Panserraikos,Olympiacos FC,Home,Against,0.0,5.0,16.0,4.0,17.0,3.0,19.0,18.0,1.0,5.0,3.0,Gameweek 14,2024,,
Olympiacos FC,Panserraikos,Away,For,0.0,5.0,16.0,4.0,17.0,3.0,19.0,18.0,1.0,5.0,3.0,Gameweek 14,2024,,
Olympiacos FC,Panserraikos,Away,Against,0.0,3.0,8.0,1.0,4.0,10.0,16.0,14.0,0.0,2.0,1.0,Gameweek 14,2024,,
Panetolikos,AEK Athens,Home,For,0.0,2.0,17.0,4.0,6.0,12.0,15.0,17.0,1.0,2.0,3.0,Gameweek 14,2024,,
Panetolikos,AEK Athens,Home,Against,0.0,9.0,11.0,1.0,17.0,3.0,21.0,15.0,0.0,7.0,1.0,Gameweek 14,2024,,
AEK Athens,Panetolikos,Away,For,0.0,9.0,11.0,1.0,17.0,3.0,21.0,15.0,0.0,7.0,1.0,Gameweek 14,2024,,
AEK Athens,Panetolikos,Away,Against,0.0,2.0,17.0,4.0,6.0,12.0,15.0,17.0,1.0,2.0,3.0,Gameweek 14,2024,,
Aris Thessaloniki,PAS Lamia 1964,Home,For,0.0,10.0,18.0,1.0,24.0,6.0,20.0,27.0,0.0,12.0,0.0,Gameweek 15,2024,,
Aris Thessaloniki,PAS Lamia 1964,Home,Against,0.0,3.0,15.0,4.0,10.0,10.0,17.0,21.0,2.0,3.0,0.0,Gameweek 15,2024,,
PAS Lamia 1964,Aris Thessaloniki,Away,For,0.0,3.0,15.0,4.0,10.0,10.0,17.0,21.0,2.0,3.0,0.0,Gameweek 15,2024,,
PAS Lamia 1964,Aris Thessaloniki,Away,Against,0.0,10.0,18.0,1.0,24.0,6.0,20.0,27.0,0.0,12.0,0.0,Gameweek 15,2024,,
NPS Volos,Panathinaikos,Home,For,0.0,3.0,14.0,1.0,3.0,8.0,14.0,19.0,0.0,0.0,1.0,Gameweek 15,2024,,
NPS Volos,Panathinaikos,Home,Against,0.0,4.0,16.0,2.0,12.0,7.0,23.0,13.0,2.0,5.0,3.0,Gameweek 15,2024,,
Panathinaikos,NPS Volos,Away,For,0.0,4.0,16.0,2.0,12.0,7.0,23.0,13.0,2.0,5.0,3.0,Gameweek 15,2024,,
Panathinaikos,NPS Volos,Away,Against,0.0,3.0,14.0,1.0,3.0,8.0,14.0,19.0,0.0,0.0,1.0,Gameweek 15,2024,,
PAS Giannina,Panetolikos,Home,For,0.0,7.0,15.0,1.0,11.0,2.0,20.0,18.0,0.0,3.0,2.0,Gameweek 15,2024,,
PAS Giannina,Panetolikos,Home,Against,1.0,6.0,18.0,4.0,3.0,10.0,28.0,21.0,0.0,2.0,0.0,Gameweek 15,2024,,
Panetolikos,PAS Giannina,Away,For,1.0,6.0,18.0,4.0,3.0,10.0,28.0,21.0,0.0,2.0,0.0,Gameweek 15,2024,,
Panetolikos,PAS Giannina,Away,Against,0.0,7.0,15.0,1.0,11.0,2.0,20.0,18.0,0.0,3.0,2.0,Gameweek 15,2024,,
Panserraikos,AEK Athens,Home,For,1.0,5.0,16.0,5.0,10.0,12.0,17.0,15.0,3.0,5.0,4.0,Gameweek 15,2024,,
Panserraikos,AEK Athens,Home,Against,0.0,3.0,14.0,4.0,16.0,2.0,17.0,15.0,1.0,5.0,0.0,Gameweek 15,2024,,
AEK Athens,Panserraikos,Away,For,0.0,3.0,14.0,4.0,16.0,2.0,17.0,15.0,1.0,5.0,0.0,Gameweek 15,2024,,
AEK Athens,Panserraikos,Away,Against,1.0,5.0,16.0,5.0,10.0,12.0,17.0,15.0,3.0,5.0,4.0,Gameweek 15,2024,,
OFI Crete,Asteras Tripolis,Home,For,0.0,9.0,17.0,3.0,19.0,8.0,23.0,12.0,1.0,5.0,8.0,Gameweek 15,2024,,
OFI Crete,Asteras Tripolis,Home,Against,0.0,4.0,7.0,1.0,14.0,11.0,13.0,24.0,0.0,4.0,1.0,Gameweek 15,2024,,
Asteras Tripolis,OFI Crete,Away,For,0.0,4.0,7.0,1.0,14.0,11.0,13.0,24.0,0.0,4.0,1.0,Gameweek 15,2024,,
Asteras Tripolis,OFI Crete,Away,Against,0.0,9.0,17.0,3.0,19.0,8.0,23.0,12.0,1.0,5.0,8.0,Gameweek 15,2024,,
A.E. Kifisia FC,PAOK,Home,For,0.0,0.0,15.0,1.0,7.0,3.0,21.0,13.0,0.0,2.0,4.0,Gameweek 15,2024,,
A.E. Kifisia FC,PAOK,Home,Against,0.0,4.0,16.0,0.0,15.0,8.0,18.0,14.0,0.0,12.0,6.0,Gameweek 15,2024,,
PAOK,A.E. Kifisia FC,Away,For,0.0,4.0,16.0,0.0,15.0,8.0,18.0,14.0,0.0,12.0,6.0,Gameweek 15,2024,,
PAOK,A.E. Kifisia FC,Away,Against,0.0,0.0,15.0,1.0,7.0,3.0,21.0,13.0,0.0,2.0,4.0,Gameweek 15,2024,,
Atromitos Athens,Olympiacos FC,Home,For,0.0,0.0,13.0,3.0,4.0,13.0,13.0,24.0,0.0,1.0,1.0,Gameweek 15,2024,,
Atromitos Athens,Olympiacos FC,Home,Against,0.0,9.0,10.0,1.0,21.0,4.0,39.0,15.0,0.0,3.0,2.0,Gameweek 15,2024,,
Olympiacos FC,Atromitos Athens,Away,For,0.0,9.0,10.0,1.0,21.0,4.0,39.0,15.0,0.0,3.0,2.0,Gameweek 15,2024,,
Olympiacos FC,Atromitos Athens,Away,Against,0.0,0.0,13.0,3.0,4.0,13.0,13.0,24.0,0.0,1.0,1.0,Gameweek 15,2024,,
Asteras Tripolis,Aris Thessaloniki,Home,For,0.0,5.0,19.0,1.0,11.0,8.0,22.0,16.0,0.0,3.0,3.0,Gameweek 16,2024,,
Asteras Tripolis,Aris Thessaloniki,Home,Against,0.0,1.0,13.0,3.0,9.0,11.0,18.0,15.0,0.0,3.0,7.0,Gameweek 16,2024,,
Aris Thessaloniki,Asteras Tripolis,Away,For,0.0,1.0,13.0,3.0,9.0,11.0,18.0,15.0,0.0,3.0,7.0,Gameweek 16,2024,,
Aris Thessaloniki,Asteras Tripolis,Away,Against,0.0,5.0,19.0,1.0,11.0,8.0,22.0,16.0,0.0,3.0,3.0,Gameweek 16,2024,,
PAS Lamia 1964,Olympiacos FC,Home,For,0.0,7.0,16.0,4.0,13.0,10.0,18.0,21.0,2.0,6.0,1.0,Gameweek 16,2024,,
PAS Lamia 1964,Olympiacos FC,Home,Against,0.0,5.0,12.0,1.0,11.0,10.0,28.0,18.0,0.0,2.0,1.0,Gameweek 16,2024,,
